"filename", "language", "Java Properties", "comment", "blank", "total"
"c:\academia\src\spring_tr4\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 2, 0, 1, 3
"Total", "-", 2, 0, 1, 3
